shirt_number,edition,label,body_color,size,qty,front_file,back_file,ink_note,affiliate_token,affiliate_url
035,Order A,JIU FIGHT · taped hands · #035/150,WHITE,M,1,035_front.png,035_back.png,as-is (cobalt blue) + 「035/150」 番号入り,eh23k,https://wearmu.com/jf/eh23k
036,Order A,JIU FIGHT · taped hands · #036/150,WHITE,M,1,036_front.png,036_back.png,as-is (cobalt blue) + 「036/150」 番号入り,7kxpc,https://wearmu.com/jf/7kxpc
037,Order A,JIU FIGHT · taped hands · #037/150,WHITE,M,1,037_front.png,037_back.png,as-is (cobalt blue) + 「037/150」 番号入り,7vhns,https://wearmu.com/jf/7vhns
038,Order A,JIU FIGHT · taped hands · #038/150,WHITE,M,1,038_front.png,038_back.png,as-is (cobalt blue) + 「038/150」 番号入り,aku4x,https://wearmu.com/jf/aku4x
039,Order A,JIU FIGHT · taped hands · #039/150,WHITE,M,1,039_front.png,039_back.png,as-is (cobalt blue) + 「039/150」 番号入り,gg82m,https://wearmu.com/jf/gg82m
040,Order A,JIU FIGHT · taped hands · #040/150,WHITE,M,1,040_front.png,040_back.png,as-is (cobalt blue) + 「040/150」 番号入り,t9vuy,https://wearmu.com/jf/t9vuy
041,Order A,JIU FIGHT · taped hands · #041/150,WHITE,M,1,041_front.png,041_back.png,as-is (cobalt blue) + 「041/150」 番号入り,2w5vf,https://wearmu.com/jf/2w5vf
042,Order A,JIU FIGHT · taped hands · #042/150,WHITE,M,1,042_front.png,042_back.png,as-is (cobalt blue) + 「042/150」 番号入り,yjaqx,https://wearmu.com/jf/yjaqx
043,Order A,JIU FIGHT · taped hands · #043/150,WHITE,M,1,043_front.png,043_back.png,as-is (cobalt blue) + 「043/150」 番号入り,rauny,https://wearmu.com/jf/rauny
044,Order A,JIU FIGHT · taped hands · #044/150,WHITE,M,1,044_front.png,044_back.png,as-is (cobalt blue) + 「044/150」 番号入り,6zv9j,https://wearmu.com/jf/6zv9j
045,Order A,JIU FIGHT · taped hands · #045/150,WHITE,M,1,045_front.png,045_back.png,as-is (cobalt blue) + 「045/150」 番号入り,kb8qb,https://wearmu.com/jf/kb8qb
046,Order A,JIU FIGHT · taped hands · #046/150,WHITE,M,1,046_front.png,046_back.png,as-is (cobalt blue) + 「046/150」 番号入り,wqhz6,https://wearmu.com/jf/wqhz6
047,Order A,JIU FIGHT · taped hands · #047/150,WHITE,M,1,047_front.png,047_back.png,as-is (cobalt blue) + 「047/150」 番号入り,srwaz,https://wearmu.com/jf/srwaz
048,Order A,JIU FIGHT · taped hands · #048/150,WHITE,M,1,048_front.png,048_back.png,as-is (cobalt blue) + 「048/150」 番号入り,nr4yq,https://wearmu.com/jf/nr4yq
049,Order A,JIU FIGHT · taped hands · #049/150,WHITE,M,1,049_front.png,049_back.png,as-is (cobalt blue) + 「049/150」 番号入り,unwj5,https://wearmu.com/jf/unwj5
050,Order A,JIU FIGHT · taped hands · #050/150,WHITE,M,1,050_front.png,050_back.png,as-is (cobalt blue) + 「050/150」 番号入り,4e8c6,https://wearmu.com/jf/4e8c6
051,Order A,JIU FIGHT · taped hands · #051/150,WHITE,M,1,051_front.png,051_back.png,as-is (cobalt blue) + 「051/150」 番号入り,4a27r,https://wearmu.com/jf/4a27r
052,Order A,JIU FIGHT · taped hands · #052/150,WHITE,M,1,052_front.png,052_back.png,as-is (cobalt blue) + 「052/150」 番号入り,e2zyj,https://wearmu.com/jf/e2zyj
053,Order A,JIU FIGHT · taped hands · #053/150,WHITE,M,1,053_front.png,053_back.png,as-is (cobalt blue) + 「053/150」 番号入り,qq4x3,https://wearmu.com/jf/qq4x3
054,Order A,JIU FIGHT · taped hands · #054/150,WHITE,M,1,054_front.png,054_back.png,as-is (cobalt blue) + 「054/150」 番号入り,4fnp9,https://wearmu.com/jf/4fnp9
055,Order A,JIU FIGHT · taped hands · #055/150,WHITE,M,1,055_front.png,055_back.png,as-is (cobalt blue) + 「055/150」 番号入り,vtksq,https://wearmu.com/jf/vtksq
056,Order A,JIU FIGHT · taped hands · #056/150,WHITE,M,1,056_front.png,056_back.png,as-is (cobalt blue) + 「056/150」 番号入り,dr7zd,https://wearmu.com/jf/dr7zd
057,Order A,JIU FIGHT · taped hands · #057/150,WHITE,M,1,057_front.png,057_back.png,as-is (cobalt blue) + 「057/150」 番号入り,qcd52,https://wearmu.com/jf/qcd52
058,Order A,JIU FIGHT · taped hands · #058/150,WHITE,M,1,058_front.png,058_back.png,as-is (cobalt blue) + 「058/150」 番号入り,6bkuv,https://wearmu.com/jf/6bkuv
059,Order A,JIU FIGHT · taped hands · #059/150,WHITE,M,1,059_front.png,059_back.png,as-is (cobalt blue) + 「059/150」 番号入り,k3597,https://wearmu.com/jf/k3597
